BwKACE8nloC,https://www.instagram.com/p/BwKACE8nloC/,"04/12/2019 8:55:51am",image,608,1,"DeLand, Florida",1,"Right engines complete! Ready to load it up for the trip to Tennessee.
Please follow us!
www.mrdouglas.org
.
.
.
.
.
@save_a_dc3  #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",067_04-12-2019
Bw1_htVnJZr,https://www.instagram.com/p/Bw1_htVnJZr/,"04/29/2019 10:58:01am",image,217,2,"Tullahoma Regional Airport",1,"Time to get to work, let's see what we can done this trip. This is Mr. Douglas setting on the ramp in Tullahoma, Tennessee.
www.mrdouglas.org .
.
.
.
.
#save_a_dc3 #aircraftrestoration #airport #dc3restoration #tullahoma #flying #airplane_lovers #airplanes",069_04-29-2019
Bw4kSdNnyd4,https://www.instagram.com/p/Bw4kSdNnyd4/,"04/30/2019 10:57:44am",image,201,11,"",1,"Time for some new shoes! These tires have been flat for 19 years. Thank You!  Desser Tire & Rubber Co for giving us a great deal on our tires! 
www.mrdouglas.org
.
.
.
.
.
.
.
@save_a_dc3  #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy #radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #airplanes #airplane_lovers #sky #skydiving #dc3restoration #dc3",071_04-30-2019
Bw8oj4qnAF2,https://www.instagram.com/p/Bw8oj4qnAF2/,"05/02/2019 12:52:01am",carousel,223,2,"Tullahoma Regional Airport",6,"New 17.00 x 16  12 ply  Desser,  Aero Classic tires & tubes.
Our volunteers are killing it!
www.mrdouglas.org
.
.
.
.
#aircrafttires #tires #tubes #dessertire #wheels #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #airplanes #airplane_lovers #sky #skydiving #dc3restoration #dc3",073_05-02-2019
BxAKZiyHw1P,https://www.instagram.com/p/BxAKZiyHw1P/,"05/03/2019 9:45:26am",image,661,19,"Tullahoma Regional Airport",1,"Installing a Zero-Time Pratt & Whitney 1830 - 75 engine on the right side of Mr. Douglas. 1,350 shaft horse power!! That's me shooting a live feed to document this historical restoration.
www.mrdouglas.org
.
.
.
.
@save_a_dc3  #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #radialengine #prattwhitney #pratt #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",075_05-03-2019
BxNm0ntn9Vj,https://www.instagram.com/p/BxNm0ntn9Vj/,"05/08/2019 3:03:55pm",carousel,552,11,"Tullahoma Regional Airport",6,"Time to hang the rudder! All the control surfaces of a DC-3 are constructed of a metal frame work and then fabric-covered, a very labor-intensive process. We're glad that's behind us! They should be good for another 20 years now.
Our volunteers are killing it!!
www.mrdouglas.org  Follow Us.
.
.
.
.
.
@save_a_dc3 #stewartsystems #painting #aircraft #aircraftrestoration #stickandrudder #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #",077_05-08-2019
BxYOEfQHsxu,https://www.instagram.com/p/BxYOEfQHsxu/,"05/12/2019 5:59:17pm",image,512,6,"",1,"Engine #2 is on the airplane, this is engine #1 for the left side. All we need now is a spare! Florida Air Cargo has another Pratt & Whitney 1830 - 75  with 500 hrs. total time. We can buy outright for $35,000 Dollars. I hope we can purchase it soon. If you would like to help, make a tax deductible donation on our website.
www.mrdouglas.org
.
.
.
.
@save_a_dc3  #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #radialengine #prattwhitney #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",079_05-12-2019
Bxh12cmJdEW,https://www.instagram.com/p/Bxh12cmJdEW/,"05/16/2019 11:40:03am",carousel,681,20,"",3,"Joe says it's time to work on the instrument panel! We are getting rid of all the vacuum gauges and replacing them with electrical. Okay #garminaviation here is your chance!
mrdouglas.org
.
.
.
.
@save_a_dc3 # #garminaviation #garminavionics #avionics #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",081_05-16-2019
BxunnRNpi4g,https://www.instagram.com/p/BxunnRNpi4g/,"05/21/2019 10:45:46am",carousel,355,2,"",3,"Left engine pan needs some serious cleaning, any volunteers? We'll have to use a Soda blaster, because sand will damage the surface of the stainless steel pan. Thank you dick Higley for taking on this tedious job. The pan looks great now.
www.mrdouglas.org
.
.
.
.
.
@save_a_dc3  #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #radialengine #prattwhitney #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",083_05-21-2019
BxxKFnuJy6V,https://www.instagram.com/p/BxxKFnuJy6V/,"05/22/2019 10:25:30am",image,433,10,"",1,"Mr. Douglas has a visitor! Flagship Detroit what a gorgeous DC-3. Can't wait to see Mr. D in this condition! 
www.mrdouglas.org
.
.
.
#flagship #flagshipdetroit #photooftheday #pilotlife #stickandrudder #dc3 #donalddouglas #mrdouglas #mcdonnelldouglas #fun
#fly",085_05-22-2019
ByG0oL9JLKc,https://www.instagram.com/p/ByG0oL9JLKc/,"05/30/2019 8:21:16pm",carousel,300,4,"",3,"DC-3 Oil cooler bracket cleaned, sandblasted, primered and painted. It's like new again, so many pieces parts! It's such a labor of love! 
#followus #donate 
www.mrdouglas.org
.
.
.
.
.
.
#oil #oilcooler #aircraft #aircraftrestoration #piecesparts #stickandrudder #dc3plane #avnerd #avgeek #aviationlovers #photooftheday #boeing #dc3restoration #dc3",087_05-30-2019
ByZQcOJpNKx,https://www.instagram.com/p/ByZQcOJpNKx/,"06/07/2019 12:10:38am",image,411,2,"",1,"This morning June 6th 2019, we watched the Reenactment Ceremony commemorating the 75 Anniversary of the D-Day Invasion. We watched in Awe as the formation of Dakotas crossed the English Channel to drop their jumpers in Normandy. We are very humbled and overwhelmed with pride as we installed the Left Elevator this afternoon on Mr. Douglas. It's so important that we preserve our history for future generations to learn about, and enjoy. .
.
.
#dakotas #reenactment #dday #ddayreenactment #fabricwork #dc3 
#aircraftrestoration #tailwheel #pilots",089_06-07-2019
BygCk6lBeY8,https://www.instagram.com/p/BygCk6lBeY8/,"06/09/2019 3:28:34pm",video,513,9,"Tullahoma, Tennessee",1,"Time to upgrade the instrument panel. Which wire goes to what? We removed about 10 lb of old avionic harnesses. I'm glad Joe knows what he's doing!
www.mrdouglas.org.
.
.
.
.
#avionics #garminaviation #avionicstechnician #dc3 #dc3dakota #dc3plane #dc3restoration #restoration",091_06-09-2019
BykaZ1UhZSa,https://www.instagram.com/p/BykaZ1UhZSa/,"06/11/2019 8:09:41am",video,488,7,"",1,"Time to try boomerang on Instagram! We have a line on new engine control knobs if anybody needs them. We will be replacing all of ours. Be sure to #followus because we need #followers 
www.mrdouglas.org
.
.
.
.
@save_a_dc3  #followus #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #radialengine #prattwhitney #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #followers",093_06-11-2019
BypxQmIJnoF,https://www.instagram.com/p/BypxQmIJnoF/,"06/13/2019 10:05:15am",carousel,649,3,"Tullahoma, Tennessee",6,"All new control surfaces On! 
Mark don't worry that's just a small funnel cloud!
www.mrdouglas.org
.
.
.
#followus #stewartsystems #painting #aircraft #aircraftrestoration #stickandrudder  #photooftheday #pilotlifestyle #aircraft #air #airplane #sky #dc3dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife",095_06-13-2019
BysXXsCpOd5,https://www.instagram.com/p/BysXXsCpOd5/,"06/14/2019 10:16:45am",image,742,0,"DeLand, Florida",1,"Volunteer and Vietnam Veteran, Mike McGuire ( Mad Dog ) making up new hoses for the DC-3's instrument panel, at our shop in DeLand Florida. Let's keep him busy make a donation today to SAVE-A-DC-3 The Mr. Douglas Society Inc. 👇
www.mrdouglas.org
.
.
.
.
#volunteer #vietnam #veterans #notforprofit #donate #philanthropy #foundation #sponsor #sponsorshipopportunity #sponsored",097_06-14-2019
By76IiHD3Cc,https://www.instagram.com/p/By76IiHD3Cc/,"06/20/2019 11:09:24am",video,360,5,"",1,"DC-3 engine control knobs are hard to find!
Joe's son made these on a 3D printer they fit perfectly!
#followus
www.mrdouglas.org
.
.
.
.
#3dprinting #aircraftspruce #preferredairparts #aircraftspruce #airplane_lovers #avnerd #avgeek #tradeaplane #restoration # dc3 #piecesparts #fly #skydiving",099_06-20-2019
BzGqyROJ_Si,https://www.instagram.com/p/BzGqyROJ_Si/,"06/24/2019 3:26:39pm",carousel,494,7,"",3,"Sox pre-fitting the Trans Texas Airlines short stack exhaust system on the #1 left side engine for Mr. Douglas. Awesome job Sox!! #prattwhitney 
www.mrdouglas.org
.
.
.
.
#exhaustsounds #exhaust #cool #radialengine #dc3plane #dc3 #fun #avnerd #aviation #avgeek",101_06-24-2019
